Event, optional label;Event label;Location name;Latitude;Longitude;Elevation;Date/Time;Date/Time end;Comment;TZ;UTC_diff [h];UTC_diff [min];DST;DST start;DST end;DST diff;;;;;;
Alert;ale;Lincoln Sea;82.49;-62.42;127;16.08.2004;;"BSRN station no: 18; Surface type: tundra; Topography type: hilly, rural; Station scientist: Christopher Cox (christopher.j.cox@noaa.gov)";EDT;-4;0;y;11.03;4.11;1;;;;;;
Alice Springs;asp;Macdonnell Ranges, Northern Territory, Australia;-23.798;133.888;547;01.01.1995;;"BSRN station no: 1; Surface type: grass; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669509; Station scientist: Nicole Hyett (N.Hyett@bom.gov.au)";ACST;9;30;n;;;;;;;;;
Barrow;bar;Alaska, USA;71.323;-156.607;8;01.01.1992;;"BSRN station no: 22; Surface type: tundra; Topography type: flat, rural; Station scientist: David Longenecker (David.U.Longenecker@noaa.gov)";AKDT;-8;0;y;11.03;4.11;1;;;;;;
Bermuda;ber;Bermuda;32.267;-64.667;8;01.01.1992;;"BSRN station no: 24; Surface type: water, ocean; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669510; Station scientist: David Longenecker (David.U.Longenecker@noaa.gov)";ADT;-3;0;y;11.03;4.11;1;;;;;;
Billings;bil;Oklahoma, United States of America;36.605;-97.516;317;01.06.1993;;"BSRN station no: 28; Surface type: grass; Topography type: flat, rural; Station scientist: Charles Long (chuck.long@noaa.gov)";CDT;-5;0;y;11.03;4.11;1;;;;;;
Bondville;bon;Illinois, United States of America;40.0667;-88.3667;213;01.01.1995;;"BSRN station no: 32; Surface type: grass; Topography type: flat, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)";CDT;-5;0;y;11.03;4.11;1;;;;;;
Boulder;bou;Colorado, United States of America;40.05;-105.007;1577;01.01.1992;30.06.2016;"BSRN station no: 23; Surface type: grass; Topography type: flat, rural; Station scientist: David Longenecker (David.U.Longenecker@noaa.gov) ** Station closed in July 2016 **";MDT;-6;0;y;11.03;4.11;1;;;;;;
Boulder;bos;Colorado, United States of America;40.125;-105.237;1689;01.07.1995;;"BSRN station no: 34; Surface type: grass; Topography type: hilly, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)";MDT;-6;0;y;11.03;4.11;1;;;;;;
Brasilia;brb;Brasilia City, Distrito Federal, Brazil;-15.601;-47.713;1023;01.02.2006;;"BSRN station no: 71; Surface type: concrete; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.695899; Station scientist: Enio Bueno Pereira (enio.pereira@inpe.br)";BRT;-3;0;y;4.11;18.02;1;;;;;;
Cabauw;cab;The Netherlands;51.9711;4.9267;0;01.12.2005;;"BSRN station no: 53; Surface type: grass; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669511; Station scientist: Wouter Knap (knap@knmi.nl)";CET;1;0;y;25.03;28.1;1;;;;;;
Camborne;cam;United Kingdom;50.2167;-5.3167;88;01.01.2001;;"BSRN station no: 50; Surface type: grass; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669512; Station scientist: Jonathan Tamlyn (jonathan.tamlyn@metoffice.gov.uk)";GMT;0;0;y;25.03;28.1;1;;;;;;
Cape Baranova;cap;Russia;79.27;101.75;;;;"BSRN Candidate. Station no: 15; Station scientist: Vasili Kustov (kustov@aari.nw.ru)";KRAT;7;0;n;;;;;;;;;
Carpentras;car;France;44.083;5.059;100;01.08.1996;;"BSRN station no: 10; Surface type: cultivated; Topography type: hilly, rural; Station scientist: Thierry Duprat (thierry.duprat@meteo.fr)";CET;1;0;y;25.03;28.1;1;;;;;;
Cener;cnr;Spain, Sarriguren, Navarra;42.816;-1.601;471;01.07.2009;;"BSRN station no: 45; Surface type: asphalt; Topography type: mountain valley, urban; Station scientist: Xabier Olano (xolano@cener.com)";CET;1;0;y;25.03;28.1;1;;;;;;
