Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Global_tilt_photon_irrad Beam_normal_photon_irrad Difuse_horiz_photn_irrad Globl_horizn_photon_flux Dirct_normal_photon_flux Dif_horizntl_photon_flux Global_tiltd_photon_flux
.2800E+03 .7851E-01 .9723E-17 .3977E-17 .1370E-16 .9723E-17 .0000E+00 .3359E-17 .3359E-17 .4734E-03 .1371E-02 .5606E-03 .1221E+00 .8667E-01 .3545E-01 .2994E-01
.2810E+03 .1717E+00 .4996E-15 .2040E-15 .7036E-15 .4996E-15 .0000E+00 .1723E-15 .1723E-15 .2438E-01 .7067E-01 .2885E-01 .6339E+01 .4501E+01 .1838E+01 .1553E+01
.2820E+03 .2918E+00 .3015E-13 .1232E-13 .4247E-13 .3015E-13 .0000E+00 .1041E-13 .1041E-13 .1478E+01 .4280E+01 .1749E+01 .3867E+03 .2745E+03 .1122E+03 .9477E+02
.2830E+03 .3431E+00 .2458E-12 .9718E-13 .3430E-12 .2458E-12 .0000E+00 .8289E-13 .8289E-13 .1181E+02 .3502E+02 .1384E+02 .3156E+04 .2262E+04 .8943E+03 .7628E+03
.2840E+03 .3213E+00 .3724E-11 .1443E-11 .5168E-11 .3724E-11 .0000E+00 .1238E-11 .1238E-11 .1770E+03 .5325E+03 .2063E+03 .4806E+05 .3464E+05 .1342E+05 .1152E+05
.2850E+03 .1186E+00 .1264E-10 .6684E-11 .1932E-10 .1264E-10 .0000E+00 .5274E-11 .5274E-11 .7567E+03 .1813E+04 .9590E+03 .1816E+06 .1188E+06 .6282E+05 .4957E+05
.2860E+03 .3008E+00 .2139E-09 .1542E-09 .3681E-09 .2139E-09 .0000E+00 .1139E-09 .1139E-09 .1640E+05 .3080E+05 .2220E+05 .3497E+07 .2032E+07 .1465E+07 .1082E+07
.2870E+03 .3780E+00 .1875E-08 .2309E-08 .4184E-08 .1875E-08 .0000E+00 .1573E-08 .1573E-08 .2272E+06 .2709E+06 .3336E+06 .4016E+08 .1800E+08 .2216E+08 .1510E+08
.2880E+03 .2506E+00 .1417E-07 .1331E-07 .2749E-07 .1417E-07 .0000E+00 .9406E-08 .9406E-08 .1364E+07 .2055E+07 .1930E+07 .2666E+09 .1375E+09 .1291E+09 .9123E+08
.2890E+03 .4204E+00 .1044E-06 .1054E-06 .2098E-06 .1044E-06 .0000E+00 .7367E-07 .7367E-07 .1072E+08 .1520E+08 .1533E+08 .2056E+10 .1024E+10 .1033E+10 .7220E+09
.2900E+03 .6181E+00 .6859E-06 .7591E-06 .1445E-05 .6859E-06 .0000E+00 .5241E-06 .5241E-06 .7651E+08 .1001E+09 .1108E+09 .1431E+11 .6792E+10 .7518E+10 .5190E+10
.2910E+03 .6101E+00 .2353E-05 .2792E-05 .5145E-05 .2353E-05 .0000E+00 .1911E-05 .1911E-05 .2799E+09 .3447E+09 .4091E+09 .5148E+11 .2354E+11 .2794E+11 .1912E+11
