Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Global_tilt_photon_irrad Beam_normal_photon_irrad Difuse_horiz_photn_irrad Globl_horizn_photon_flux Dirct_normal_photon_flux Dif_horizntl_photon_flux Global_tiltd_photon_flux
.2800E+03 .7851E-01 .1160E-24 .1985E-18 .1985E-18 .7729E-25 .8655E-25 .1191E-18 .1191E-18 .1679E-04 .1636E-10 .2798E-04 .1769E-02 .1034E-08 .1769E-02 .1061E-02
.2810E+03 .1717E+00 .2872E-22 .1171E-18 .1171E-18 .1913E-22 .2142E-22 .7024E-19 .7026E-19 .9939E-05 .4062E-08 .1656E-04 .1055E-02 .2587E-06 .1055E-02 .6330E-03
.2820E+03 .2918E+00 .1025E-19 .4407E-17 .4414E-17 .6828E-20 .7646E-20 .2645E-17 .2652E-17 .3765E-03 .1455E-05 .6256E-03 .4019E-01 .9334E-04 .4013E-01 .2415E-01
.2830E+03 .3431E+00 .2193E-18 .4317E-16 .4331E-16 .1460E-18 .1635E-18 .2591E-16 .2608E-16 .3715E-02 .3124E-04 .6150E-02 .3986E+00 .2018E-02 .3972E+00 .2400E+00
.2840E+03 .3213E+00 .1329E-16 .1001E-14 .1010E-14 .8850E-17 .9911E-17 .6013E-15 .6112E-15 .8739E-01 .1900E-02 .1431E+00 .9389E+01 .1236E+00 .9307E+01 .5685E+01
.2850E+03 .1186E+00 .1361E-15 .5384E-14 .5475E-14 .9063E-16 .1015E-15 .3240E-14 .3341E-14 .4794E+00 .1952E-01 .7725E+00 .5146E+02 .1279E+01 .5061E+02 .3140E+02
.2860E+03 .3008E+00 .5929E-14 .1335E-12 .1375E-12 .3949E-14 .4423E-14 .8051E-13 .8493E-13 .1223E+02 .8537E+00 .1922E+02 .1306E+04 .5632E+02 .1268E+04 .8067E+03
.2870E+03 .3780E+00 .1367E-12 .1757E-11 .1848E-11 .9104E-13 .1020E-12 .1064E-11 .1166E-11 .1684E+03 .1975E+02 .2539E+03 .1774E+05 .1312E+04 .1687E+05 .1119E+05
.2880E+03 .2506E+00 .3472E-11 .1783E-10 .2014E-10 .2313E-11 .2590E-11 .1093E-10 .1352E-10 .1960E+04 .5034E+03 .2584E+04 .1953E+06 .3368E+05 .1729E+06 .1311E+06
.2890E+03 .4204E+00 .5348E-10 .2187E-09 .2543E-09 .3562E-10 .3989E-10 .1348E-09 .1746E-09 .2541E+05 .7780E+04 .3181E+05 .2492E+07 .5241E+06 .2143E+07 .1712E+07
